;prefix;brand;3
0;3RG - 3RG;3RG;3RG
1;AD - AD;AD;AD
2;AGN - AGN (LINKI);AGN;AGN (LINKI)
3;AIR - AIRTEX;AIR;AIRTEX
4;ALK - AL-KO;ALK;AL-KO
5;AM - AM AMORTYZATORY;AM;AM AMORTYZATORY
6;ART - ART;ART;ART
7;AT - AT;AT;AT
8;ATE - ATE;ATE;ATE
9;AUS - AUSTAUCH;AUS;AUSTAUCH
10;BC - BC;BC;BC
11;BER - BERG;BER;BERG
12;BERU - BERU;BERU;BERU
13;BOS - BOSCH;BOS;BOSCH
14;BOU - BOUGICORD;BOU;BOUGICORD
15;BRE - BREMBO;BRE;BREMBO
16;BV - BV;BV;BV
17;C - WIECE ÆAROWE;C;WIECE ÆAROWE
18;CAB - CAB;CAB;CAB
19;CIF - CIFAM;CIF;CIFAM
20;CJ - CJ;CJ;CJ
21;CLI - CLIMATIC;CLI;CLIMATIC
22;COG - COGEFA;COG;COGEFA
23;COR - CORTECO;COR;CORTECO
24;CQ;CQ;CQ
25;CX - CX;CX;CX
26;CZP - CZUJNIKI;CZP;CZUJNIKI
27;DAN - DANAHER;DAN;DANAHER
28;DAP - DAP;DAP;DAP
29;DAY - DAYCO;DAY;DAYCO
30;DE - DELCO;DE;DELCO
31;DEL - DELPHI;DEL;DELPHI
32;DEN - DENSO;DEN;DENSO
33;DF - DF;DF;DF
34;DOL - DOLZ;DOL;DOLZ
35;DRF;DRF;DRF
36;DVR - DVR;DVR;DVR
37;EA/EC/EO FILTRY;EA/EC/EO FILTRY;EA/EC/EO FILTRY
38;ECO - ECOLIPER;ECO;ECOLIPER
39;EGR - ZAWORY EGR;EGR;ZAWORY EGR
40;ELF - ELF OLEJE;ELF;ELF OLEJE
41;ELR - ELRING;ELR;ELRING
42;EQ - EYQUEM;EQ;EYQUEM
43;EURO - EUROREPAR;EURO;EUROREPAR
44;EXP - CEWKI;EXP;EXP
45;EXP - PÓ£OSIE,PRZEG.;EXP;EXP
46;EXP - POMPKI SPRYSKI;EXP;EXP
47;EXP - POMPY PALIWA;EXP;EXP
48;EXP - RÓÆNE;EXP;EXP
49;EXP - SE - SENSORS;EXP;EXP
50;EY - EY;EY;EY
51;FAE - FAE;FAE;FAE
52;FAG - FAG;FAG;FAG
53;FC - FC;FC;FC
54;FEB - FEBI;FEB;FEBI
55;FG - FG;FG;FG
56;FIE - FIELD;FIE;FIELD
57;FRE - FRENKIT;FRE;FRENKIT
58;FTY - FILTRY;FTY;FILTRY
59;G - EXPERT LINE;G;EXPERT LINE
60;GAT - GATES;GAT;GATES
61;GEN - GENMOT;GEN;GENMOT
62;GF - GF;GF;GF
63;GP - GLOW PLUG;GP;GLOW PLUG
64;GS - GS AMOR.KLAPY;GS;GS AMOR.KLAPY
65;HAT - HATTAT;HAT;HATTAT
66;HEL - HELLA;HEL;HELLA
67;HH - HUTCHINSON;HH;HUTCHINSON
68;HL - HL CH£ODNICE;HL;HL CH£ODNICE
69;HP - HP ELE.MET.GUM.;HP;HP ELE.MET.GUM.
70;HUC - HUCO / HITACHI;HUC;HUCO / HITACHI
71;IMP - IMPERGOM;IMP;IMPERGOM
72;INA - INA;INA;INA
73;IT - IT OPORNICE;IT;IT OPORNICE
74;K - ELE.MET.GUMOWE;K;ELE.MET.GUMOWE
75;K - SPRZŹ£A;K;SPRZŹ£A
76;KEN - KENTPAR;KEN;KENTPAR
77;KL - KL KLAMKI/PODNO;KL;KL KLAMKI/PODNO
78;KLE - KLEBER;KLE;KLEBER
79;KOL - KOLBENSCHMIDT;KOL;KOLBENSCHMIDT
80;KON - KONTACT;KON;KONTACT
81;KOR - KOR;KOR;KOR
82;KP - KP;KP;KP
83;KR - KR;KR;KR
84;KYB - KAYABA;KYB;KAYABA
85;L - L LINKI;L;L LINKI
86;LEC - LECOY;LEC;LECOY
87;LEG;LEG;LEG
88;LIN - LYNCO;LIN;LYNCO
89;LIZ - LIZARTE;LIZ;LIZARTE
90;LKM - OBUDOWY F.POW.;LKM;OBUDOWY F.POW.
91;LMI - LEMFORDER;LMI;LEMFORDER
92;LOB - LOBRO;LOB;LOBRO
93;LUK - LUK;LUK;LUK
94;M - M NAPINACZE;M;M NAPINACZE
95;MAH - MAHLE;MAH;MAHLE
96;MAN - MANN FILTER;MAN;MANN FILTER
97;MC / STC;MC / STC;MC / STC
98;MD - MEAT & DORIA;MD;MEAT & DORIA
99;MECA - MECAFILTER;MECA;MECAFILTER
100;MG - MG;MG;MG
101;MI - MIARKI OLEJU;MI;MIARKI OLEJU
102;MIS - MISFAT;MIS;MISFAT
103;MKL - MKL £OÆYSKA;MKL;MKL £OÆYSKA
104;ML - MIARKI/TERMOST.;ML;MIARKI/TERMOST.
105;MM - MAGNETI MARELLI;MM;MAGNETI MARELLI
106;MN £OÆYSKA/NAPINACZE;MN £OÆYSKA/NAPINACZE;MN £OÆYSKA/NAPINACZE
107;MNK - MNK £OÆYSKA;MNK;MNK £OÆYSKA
108;MO - MISKI OLEJOWE;MO;MISKI OLEJOWE
109;MON - MON NAG/CH£OD;MON;MON NAG/CH£OD
110;MONR - MONROE;MONR;MONROE
111;MOT - MOTRIO;MOT;MOTRIO
112;MPU - PODUSZKI SIL.;MPU;PODUSZKI SIL.
113;MS - MISKI OLEJOWE;MS;MISKI OLEJOWE
114;NAG - NAGARES;NAG;NAGARES
115;NGK - NGK;NGK;NGK
116;NRF - NRF;NRF;NRF
117;O - POLCAR;O;POLCAR
118;OCE - OCEAN;OCE;OCEAN
119;OEQ;OEQ;OEQ
120;OL - MISKI OLEJOWE;OL;MISKI OLEJOWE
121;OMG;OMG;OMG
122;OP - EXPERT LINE;OP;EXPERT LINE
123;ORG;ORG;ORG
124;ORG C/P;ORG C/P;ORG C/P
125;ORG R;ORG R;ORG R
126;ORG/L;ORG/L;ORG/L
127;ORG/SP;ORG/SP;ORG/SP
128;OUT - OUTLET;OUT;OUTLET
129;P - P ZBIORNIKI WYR.;P;P ZBIORNIKI WYR.
130;PIE - PIERBURG;PIE;PIERBURG
131;PK -ELEM.STER.SPRZ.;PK -ELEM.STER.SPRZ.;PK -ELEM.STER.SPRZ.
132;PL - PODUSZKI SILNIK;PL;PODUSZKI SILNIK
133;PMB - PMB;PMB;PMB
134;PROD;PROD;PROD
135;PUR - PURFLUX;PUR;PURFLUX
136;PW - PW POMPY WSPOM.;PW;PW POMPY WSPOM.
137;Q - Q NAPINACZE;Q;Q NAPINACZE
138;R - R;R;R
139;RA - RAMIONA WYCIER.;RA;RAMIONA WYCIER.
140;RAC - PRZEK. KIEROW.;RAC;PRZEK. KIEROW.
141;RBM - ROLKI DRZWI;RBM;ROLKI DRZWI
142;RBS - ROLKI DRZWI;RBS;ROLKI DRZWI
143;RD;RD;RD
144;REC - RECORD;REC;RECORD
145;REW;REW;REW
146;RF - PRZEWODY PALIWA;RF;PRZEWODY PALIWA
147;RGD - RGD;RGD;RGD
148;RH - ROAD HOUSE;RH;ROAD HOUSE
149;RNZ - VICTOR REINZ;RNZ;VICTOR REINZ
150;ROR - ROR;ROR;ROR
151;RS - PRZEWODY GUMOWE;RS;PRZEWODY GUMOWE
152;RT;RT;RT
153;RW - RW;RW;RW
154;RWO;RWO;RWO
155;RWQ;RWQ;RWQ
156;RWS - RWS;RWS;RWS
157;RWW - RWW;RWW;RWW
158;RZ;RZ;RZ
159;S - S (SPRZŹG£A);S;S (SPRZŹG£A)
160;S - SASIC;S;SASIC
161;SAC - SACHS;SAC;SACHS
162;SDE - PODUSZKI SIL.;SDE;PODUSZKI SIL.
163;SEIM - SEIM;SEIM;SEIM
164;SEW - PODUSZKI SIL.;SEW;PODUSZKI SIL.
165;SID - SIDAT;SID;SIDAT
166;SKF - SKF;SKF;SKF
167;SNR - SNR;SNR;SNR
168;SOG - SOGEFIPRO;SOG;SOGEFIPRO
169;SP - SP;SP;SP
170;SPV - SPV;SPV;SPV
171;SQ - STACYJKI;SQ;STACYJKI
172;SZ - SZ;SZ;SZ
173;T - T;T;T
174;TAL - TALOSA;TAL;TALOSA
175;TER - TER;TER;TER
176;TF - TF;TF;TF
177;TK - LINKI;TK;LINKI
178;TKE - LINKI HAM.;TKE;LINKI HAM.
179;TKL - LINKI HAM.;TKL;LINKI HAM.
180;TL - LINKI;TL;LINKI
181;TN - TERMOSTATY;TN;TERMOSTATY
182;TOTAL - TOTAL;TOTAL;TOTAL
183;TRW - TRW;TRW;TRW
184;TWE - TERMOSTATY;TWE;TERMOSTATY
185;UFI - UFI;UFI;UFI
186;V - V;V;V
187;VAL - VALEO;VAL;VALEO
188;VDO - SIEMENS;VDO;SIEMENS
189;VE - VERNET;VE;VERNET
190;VEL - VELTEX;VEL;VELTEX
191;VER - VERTIGO;VER;VERTIGO
192;VIE - VIEW MAX;VIE;VIEW MAX
193;VIT - VITESSE PARTS;VIT;VITESSE PARTS
194;WAL - WALKER;WAL;WALKER
195;WE - OPORNICE;WE;OPORNICE
196;WN - WN;WN;WN
197;WOK - WOKING;WOK;WOKING
198;WP - WP;WP;WP
199;WT - WENTYLATORY/OPO;WT;WENTYLATORY/OPO
200;WTE - OPORNICE;WTE;OPORNICE
201;XM - ENGI;XM;ENGI
202;YSM - YSM;YSM;YSM
203;ZAC - ZACISKI HAM.;ZAC;ZACISKI HAM.
204;ZAW - ZAWORY EGR;ZAW;ZAWORY EGR
205;ZB - LINKI;ZB;LINKI
206;MN ЈOЇYSKA/NAPINACZE;MN;EMOTO PRIVATE LABEL
207;MN ЈOЇYSKA/NAPINACZE;MN;EMOTO PRIVATE LABEL
